"","X.1","Category","Code","Occupation","Sectors","X2016.National.Employment.Matrix","OCC.Group","Occ.Type","X2016.Current","X2026.Projected","Employment.Percent","X","Change.Number","Change.Percent","Occupational.Openings.2016.26.Annual.Average","OCC.Type","OCC_CODE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"1",1,"Green Enhanced Skills","17-2011.00","Aerospace Engineers","Transportation","Aerospace engineers","17-2011","Line item","69.6","73.8",0,0,4.2,6.1,4.6,"Line item","17-2010","broad","63,960",3.4,56.3,"117,100",0.7,34.44,43.19,55.39,68.91,"78.95","71,640","89,830",12,"143,340","164,210",NA,NA
"2",2,"Green Enhanced Skills","17-2011.00","Aerospace Engineers","Transportation","Aerospace engineers","17-2011","Line item","69.6","73.8",0,0,4.2,6.1,4.6,"Line item","17-2011","detailed","63,960",3.4,56.3,"117,100",0.7,34.44,43.19,55.39,68.91,"78.95","71,640","89,830",12,"143,340","164,210",NA,NA
"3",3,"Green Enhanced Skills","17-2011.00","Aerospace Engineers","Research, Design, and Consulting Services","Aerospace engineers","17-2011","Line item","69.6","73.8",0,0,4.2,6.1,4.6,"Line item","17-2010","broad","63,960",3.4,56.3,"117,100",0.7,34.44,43.19,55.39,68.91,"78.95","71,640","89,830",12,"143,340","164,210",NA,NA
"4",4,"Green Enhanced Skills","17-2011.00","Aerospace Engineers","Research, Design, and Consulting Services","Aerospace engineers","17-2011","Line item","69.6","73.8",0,0,4.2,6.1,4.6,"Line item","17-2011","detailed","63,960",3.4,56.3,"117,100",0.7,34.44,43.19,55.39,68.91,"78.95","71,640","89,830",12,"143,340","164,210",NA,NA
"5",5,"Green Enhanced Skills","19-4011.01","Agricultural Technicians","Agriculture and Forestry",NA,NA,NA,"28","31",NA,NA,5,1.107142857,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,19.65,NA,NA,NA,NA,45,NA,NA,NA,NA
"6",6,"Green Enhanced Skills","51-2011.00","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Manufacturing",NA,NA,NA,"41.8","34.5",0,0,-7.3,-17.4,3.2,NA,"51-2010","broad","43,150",4.7,26.7,"55,530",2.4,15.51,19.5,25.64,33.66,"39.61","32,250","40,570",73,"70,010","82,390",NA,NA
"7",7,"Green Enhanced Skills","51-2011.00","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Manufacturing",NA,NA,NA,"41.8","34.5",0,0,-7.3,-17.4,3.2,NA,"51-2011","detailed","43,150",4.7,26.7,"55,530",2.4,15.51,19.5,25.64,33.66,"39.61","32,250","40,570",73,"70,010","82,390",NA,NA
"8",8,"Green Enhanced Skills","23-1022.00","Arbitrators, Mediators, and Conciliators","Governmental and Regulatory Administration",NA,NA,NA,"8","8.4",NA,NA,0.4,1.05,NA,NA,"23-1022","detailed","6,240",5,34.98,"72,760",2.3,17.59,21.82,29.94,43.96,"59.85","36,590","45,380",99,"91,430","124,480",NA,NA
"9",9,"Green Enhanced Skills","23-1022.00","Arbitrators, Mediators, and Conciliators","Research, Design, and Consulting Services",NA,NA,NA,"8","8.4",NA,NA,0.4,10,NA,NA,"23-1022","detailed","6,240",5,34.98,"72,760",2.3,17.59,21.82,29.94,43.96,"59.85","36,590","45,380",99,"91,430","124,480",NA,NA
"10",10,"Green Enhanced Skills","17-1011.00","Architects, Except Landscape and Naval","Green Construction",NA,NA,NA,"2.7","2.9",0,0,0.2,8.2,0.2,NA,"17-1011","detailed","104,360",1.7,42.72,"88,860",1,23.09,29.46,38.16,50.25,"66.4","48,020","61,280",124,"104,510","138,120",NA,NA
"11",11,"Green Enhanced Skills","17-1011.00","Architects, Except Landscape and Naval","Research, Design, and Consulting Services",NA,NA,NA,"2.7","2.9",0,0,0.2,8.2,0.2,NA,"17-1011","detailed","104,360",1.7,42.72,"88,860",1,23.09,29.46,38.16,50.25,"66.4","48,020","61,280",124,"104,510","138,120",NA,NA
"12",12,"Green Enhanced Skills","11-9041.00","Architectural and Engineering Managers","Research, Design, and Consulting Services",NA,NA,NA,"180.1","190",0.1,0.1,9.9,5.5,13.6,NA,"Nov-40","broad","188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,"#","89,620","112,400",16,"173,180","#",NA,NA
"13",13,"Green Enhanced Skills","11-9041.00","Architectural and Engineering Managers","Research, Design, and Consulting Services",NA,NA,NA,"180.1","190",0.1,0.1,9.9,5.5,13.6,NA,"Nov-41","detailed","188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,"#","89,620","112,400",16,"173,180","#",NA,NA
"14",14,"Green Enhanced Skills","11-9041.00","Architectural and Engineering Managers","Environment Protection",NA,NA,NA,"180.1","190",0.1,0.1,9.9,5.5,13.6,NA,"Nov-40","broad","188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,"#","89,620","112,400",16,"173,180","#",NA,NA
"15",15,"Green Enhanced Skills","11-9041.00","Architectural and Engineering Managers","Environment Protection",NA,NA,NA,"180.1","190",0.1,0.1,9.9,5.5,13.6,NA,"Nov-41","detailed","188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,"#","89,620","112,400",16,"173,180","#",NA,NA
"16",16,"Green Enhanced Skills","19-2021.00","Atmospheric and Space Scientists","Research, Design, and Consulting Services",NA,NA,NA,"10.4","11.7",0,0,1.3,12,0.9,NA,"19-2020","broad","9,310",3.9,45.95,"95,580",1.2,24.06,33.36,45.25,55.81,"68.51","50,040","69,380",139,"116,090","142,500",NA,NA
"17",17,"Green Enhanced Skills","19-2021.00","Atmospheric and Space Scientists","Research, Design, and Consulting Services",NA,NA,NA,"10.4","11.7",0,0,1.3,12,0.9,NA,"19-2021","detailed","9,310",3.9,45.95,"95,580",1.2,24.06,33.36,45.25,55.81,"68.51","50,040","69,380",139,"116,090","142,500",NA,NA
"18",18,"Green Enhanced Skills","19-2021.00","Atmospheric and Space Scientists","Environment Protection",NA,NA,NA,"10.4","11.7",0,0,1.3,12,0.9,NA,"19-2020","broad","9,310",3.9,45.95,"95,580",1.2,24.06,33.36,45.25,55.81,"68.51","50,040","69,380",139,"116,090","142,500",NA,NA
"19",19,"Green Enhanced Skills","19-2021.00","Atmospheric and Space Scientists","Environment Protection",NA,NA,NA,"10.4","11.7",0,0,1.3,12,0.9,NA,"19-2021","detailed","9,310",3.9,45.95,"95,580",1.2,24.06,33.36,45.25,55.81,"68.51","50,040","69,380",139,"116,090","142,500",NA,NA
"20",20,"Green Enhanced Skills","49-3023.02","Automotive Specialty Technicians","Transportation",NA,NA,NA,"750","825.6",NA,NA,NA,1.1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.57,NA,NA,NA,NA,43,NA,NA,NA,NA
"21",21,"Green Enhanced Skills","49-3031.00","Bus and Truck Mechanics and Diesel Engine Specialists","Transportation",NA,NA,NA,"278.8","304.6",0.2,0.2,25.8,9.2,28.2,NA,"49-3030","broad","264,860",1.1,23.63,"49,150",0.3,15,18.13,22.76,28.47,"34.7","31,200","37,710",60,"59,210","72,180",NA,NA
"22",22,"Green Enhanced Skills","49-3031.00","Bus and Truck Mechanics and Diesel Engine Specialists","Transportation",NA,NA,NA,"278.8","304.6",0.2,0.2,25.8,9.2,28.2,NA,"49-3031","detailed","264,860",1.1,23.63,"49,150",0.3,15,18.13,22.76,28.47,"34.7","31,200","37,710",60,"59,210","72,180",NA,NA
"23",23,"Green Enhanced Skills","17-2051.00","Civil Engineers","Green Construction","Civil engineers","17-2051","Line item","303.5","335.7",0.2,0.2,32.2,10.6,25.9,"Line item","17-2050","broad","306,030",1,45.06,"93,720",0.4,26.34,32.42,41.65,54.25,"68.54","54,780","67,430",130,"112,850","142,560",NA,NA
"24",24,"Green Enhanced Skills","17-2051.00","Civil Engineers","Green Construction","Civil engineers","17-2051","Line item","303.5","335.7",0.2,0.2,32.2,10.6,25.9,"Line item","17-2051","detailed","306,030",1,45.06,"93,720",0.4,26.34,32.42,41.65,54.25,"68.54","54,780","67,430",130,"112,850","142,560",NA,NA
"25",25,"Green Enhanced Skills","17-2051.00","Civil Engineers","Renewable Energy Generation","Civil engineers","17-2051","Line item","303.5","335.7",0.2,0.2,32.2,10.6,25.9,"Line item","17-2050","broad","306,030",1,45.06,"93,720",0.4,26.34,32.42,41.65,54.25,"68.54","54,780","67,430",130,"112,850","142,560",NA,NA
